dimension,value,num_examples,before_pass_count,before_pass_rate,before_fail_count,before_fail_rate,before_ambiguous_count,before_ambiguous_rate,after_pass_count,after_pass_rate,after_fail_count,after_fail_rate,after_ambiguous_count,after_ambiguous_rate,pass_rate_delta,nonpass_to_pass_count,nonpass_to_pass_rate,pass_to_nonpass_count,pass_to_nonpass_rate,hard_regression_count,hard_regression_rate,soft_regression_count,soft_regression_rate
model_name,gemini-2.5-flash-image,51,0,0.0000,41,0.8039,10,0.1961,27,0.5294,20,0.3922,4,0.0784,0.5294,27,0.5294,0,0.0000,0,0.0000,0,0.0000
model_name,gpt-image-1,30,0,0.0000,19,0.6333,11,0.3667,15,0.5000,12,0.4000,3,0.1000,0.5000,15,0.5000,0,0.0000,0,0.0000,0,0.0000
