dimension,value,num_examples,before_pass_count,before_pass_rate,before_fail_count,before_fail_rate,before_ambiguous_count,before_ambiguous_rate,after_pass_count,after_pass_rate,after_fail_count,after_fail_rate,after_ambiguous_count,after_ambiguous_rate,pass_rate_delta,nonpass_to_pass_count,nonpass_to_pass_rate,pass_to_nonpass_count,pass_to_nonpass_rate,hard_regression_count,hard_regression_rate,soft_regression_count,soft_regression_rate
model_name,gemini-2.5-flash-image,50,10,0.2000,32,0.6400,8,0.1600,28,0.5600,21,0.4200,1,0.0200,0.3600,20,0.5000,2,0.2000,2,0.2000,0,0.0000
model_name,gpt-image-1,43,16,0.3721,19,0.4419,8,0.1860,24,0.5581,18,0.4186,1,0.0233,0.1860,12,0.4444,4,0.2500,3,0.1875,1,0.0625
