dimension,value,num_examples,before_pass_count,before_pass_rate,before_fail_count,before_fail_rate,before_ambiguous_count,before_ambiguous_rate,after_pass_count,after_pass_rate,after_fail_count,after_fail_rate,after_ambiguous_count,after_ambiguous_rate,pass_rate_delta,nonpass_to_pass_count,nonpass_to_pass_rate,pass_to_nonpass_count,pass_to_nonpass_rate,hard_regression_count,hard_regression_rate,soft_regression_count,soft_regression_rate
model_name,gemini-2.5-flash-image,412,295,0.7160,84,0.2039,33,0.0801,361,0.8762,45,0.1092,6,0.0146,0.1602,77,0.6581,11,0.0373,9,0.0305,2,0.0068
model_name,gpt-image-1,330,259,0.7848,42,0.1273,29,0.0879,289,0.8758,34,0.1030,7,0.0212,0.0909,43,0.6056,13,0.0502,12,0.0463,1,0.0039
