dimension,value,num_examples,before_pass_count,before_pass_rate,before_fail_count,before_fail_rate,before_ambiguous_count,before_ambiguous_rate,after_pass_count,after_pass_rate,after_fail_count,after_fail_rate,after_ambiguous_count,after_ambiguous_rate,pass_rate_delta,nonpass_to_pass_count,nonpass_to_pass_rate,pass_to_nonpass_count,pass_to_nonpass_rate,hard_regression_count,hard_regression_rate,soft_regression_count,soft_regression_rate
scene_context_type,natural,250,174,0.6960,52,0.2080,24,0.0960,214,0.8560,28,0.1120,8,0.0320,0.1600,47,0.6184,7,0.0402,6,0.0345,1,0.0057
scene_context_type,simple,91,65,0.7143,16,0.1758,10,0.1099,82,0.9011,7,0.0769,2,0.0220,0.1868,19,0.7308,2,0.0308,1,0.0154,1,0.0154
