dimension,value,num_examples,before_pass_count,before_pass_rate,before_fail_count,before_fail_rate,before_ambiguous_count,before_ambiguous_rate,after_pass_count,after_pass_rate,after_fail_count,after_fail_rate,after_ambiguous_count,after_ambiguous_rate,pass_rate_delta,nonpass_to_pass_count,nonpass_to_pass_rate,pass_to_nonpass_count,pass_to_nonpass_rate,hard_regression_count,hard_regression_rate,soft_regression_count,soft_regression_rate
scene_context_type,natural,293,227,0.7747,45,0.1536,21,0.0717,261,0.8908,30,0.1024,2,0.0068,0.1160,42,0.6364,8,0.0352,8,0.0352,0,0.0000
scene_context_type,simple,108,88,0.8148,13,0.1204,7,0.0648,93,0.8611,14,0.1296,1,0.0093,0.0463,12,0.6000,7,0.0795,6,0.0682,1,0.0114
